"","Class","MAperF","MTotF","MCoreF","AreaF","IR2F","csfF","EllipF","MAperJ","MTotJ","MCoreJ","AreaJ","IR2J","csfJ","EllipJ","MAperN","MTotN","MCoreN","AreaN","IR2N","csfN","EllipN"
"34886",0,18720,18704,19328,47000,2080,900,226,18866,18947,19339,45000,1627,900,91,20432,20296,20836,22000,1831,1040,160
"109586",0,18121,18065,18847,57000,2100,1000,46,19415,19452,19850,40000,1737,880,107,19011,18963,19534,38000,1905,940,228
"31831",0,19131,19183,19658,37000,1785,900,78,20740,20825,20855,19000,1323,820,80,19075,19146,19797,44000,2027,2750,103
"193",0,19372,19453,19927,35000,1816,920,164,19060,19054,19631,43000,1814,960,172,21820,21002,21126,10000,1176,700,435
"99461",0,15422,15371,16228,146000,2418,1080,43,16882,16876,17670,99000,2235,1200,116,16558,16543,17237,106000,2182,1100,8
"86437",0,17171,17150,17883,76000,2171,1020,111,17779,17793,18361,71000,2004,1040,180,18637,18654,19108,50000,1702,900,163
"69926",0,14554,14468,15232,198000,2593,1020,46,16113,16101,16974,145000,2531,1280,42,15857,15805,16729,119000,2369,1280,31
"83646",0,19056,19139,19713,42000,1921,1020,162,19323,19329,19826,38000,1701,960,74,20640,20238,20856,12000,1622,960,334
"117088",0,18271,18230,18905,52000,1874,960,33,18997,19080,19330,42000,1646,920,40,19332,19185,20097,37000,2156,2750,359
"104545",0,20762,20330,20667,17000,1287,700,227,21028,20981,21295,16000,1463,1020,189,20613,20497,20989,15000,1454,960,366
"1069",0,17116,17061,17996,110000,2568,1020,128,18390,18379,18908,58000,1949,940,166,17163,17145,17902,85000,2253,2800,110
"77872",0,17805,17785,18394,58000,1869,940,87,19085,19168,19466,38000,1564,880,120,18660,18680,19284,46000,1924,960,152
"27559",0,17923,17868,18555,73000,2488,1000,417,18882,18839,19352,47000,1916,860,270,18975,18761,19654,58000,2961,2900,573
"92578",0,15384,15309,16284,129000,2686,1200,143,16850,16878,17605,68000,2116,1220,56,16327,16268,17020,117000,2261,1140,23
"68788",0,18903,18900,19698,41000,1932,1040,78,19652,19642,20236,30000,1629,960,70,20000,20292,20660,14000,1244,760,235
"8519",0,16320,16207,17161,121000,2546,1020,49,16935,17081,17638,88000,2040,1120,42,17288,17231,17928,72000,2087,2950,78
"134278",0,19951,20011,20445,25000,1729,940,27,19752,19774,20277,30000,1815,940,256,20428,20721,21327,8000,1130,2450,431
"45140",0,17058,17080,17706,80000,2050,1020,56,18229,18218,18726,56000,1842,940,244,18018,17973,18554,54000,1884,960,42
"107549",0,14074,14030,14510,180000,2182,900,37,16353,16379,17171,112000,2276,1240,127,15804,15754,16711,144000,2486,1240,87
"15757",0,16980,16977,17676,88000,2157,1020,25,17734,17815,18260,68000,1860,1020,74,18199,18164,18844,55000,1969,1020,30
"50388",0,17141,17140,17827,77000,2129,1020,34,17818,17927,18324,60000,1786,1000,77,18417,18297,19097,52000,2071,1020,199
"54967",0,16020,15969,16802,87000,2304,1080,35,17622,17649,18213,54000,1908,1020,55,16638,16627,17285,68000,2052,1040,58
"46476",0,17915,17907,18619,55000,2056,1020,49,18203,18308,18617,54000,1644,920,72,19420,19347,19936,29000,1602,1020,206
"31004",0,16602,16554,17339,47000,1981,1040,90,17334,17407,17952,41000,1818,1080,38,17789,17757,18364,41000,1931,1020,144
"108751",0,15267,15220,16134,157000,2495,1140,59,16492,16534,17273,117000,2261,1160,26,16323,16247,17050,118000,2345,1080,67
"71998",0,16416,16418,17159,100000,2158,1080,54,17401,17435,18005,76000,1923,1060,43,17500,17482,18077,71000,1936,980,48
"132861",0,16424,16414,17284,120000,2415,1080,75,17203,17253,17829,80000,1952,1080,112,17635,17737,18256,68000,1967,1000,133
"31206",0,17832,17851,18489,57000,1997,1000,101,19137,19185,19557,41000,1573,820,97,18625,18504,19237,44000,2020,2950,262
"110742",0,17423,17403,18131,68000,2182,1020,22,17955,17998,18520,46000,1837,1020,87,18697,18636,19377,46000,2060,980,97
"3791",0,16173,16013,17236,173000,3066,1020,88,17087,17155,17837,87000,2136,1140,91,16327,16294,17066,103000,2201,1080,79
"65420",0,16034,15994,16821,121000,2338,1080,62,16781,16790,17522,116000,2330,1160,110,17252,17271,17869,81000,2046,1020,119
"108102",0,19995,19794,20691,28000,1985,1120,374,20765,20666,21030,19000,1570,1040,124,20803,21263,21644,6000,1126,2600,100
"12082",0,18551,18552,19380,51000,2290,1020,161,19749,19800,20191,44000,1883,940,120,18799,18715,19510,50000,2127,2750,117
